Date,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY,Return,High_Low_Spread,Close_Open_Change,Close_to_High,Close_to_Low,Return_1,Return_2,Return_3,Return_5,Return_10,Momentum_3,Momentum_7,Close_lag1,Close_lag2,Close_lag3,MA_5,MA_20,Close_minus_MA_5,Close_minus_MA_20,Volatility_5,Volatility_10,Volatility_20,TR,ATR_14,Prev_Day_Overnight_Return,day_of_week,month,day_of_month,week_of_month,is_month_end,is_quarter_end,Next_Open_SPY,vader_neg,vader_neu,vader_pos,vader_compound,finbert_positive,finbert_negative,finbert_neutral,Next_Open_Return
2018-01-31,249.53150939941406,250.77075238523688,248.45159186602467,250.2662217858644,108364800,0.0004966602078815274,2.319160519212204,-0.734712386450326,1.2392429858228127,1.0799175333893913,-0.010257003982362511,-0.006630037837465852,0.011578074237920788,-0.004520150050354443,0.008189782592411765,-0.01633073063410362,-0.0027947825765624046,249.4076385498047,251.99232482910156,253.6741943359375,251.07528381347657,246.77110900878907,-1.5437744140625114,2.7604003906249943,0.00836345469199805,0.006420202000081765,0.005495473813681307,2.319160519212204,2.0567730826534154,0.003442489737090604,2,1,31,4,1,0,248.79677743220415,0.088,0.826,0.086,0.3291,0.11364224553108215,0.37647297978401184,0.509884774684906,-0.005871524903258974
2018-02-01,249.24819946289062,250.55827152453875,248.45154533644848,248.79677743220415,90102500,-0.0011353673818802479,2.1067261880902777,0.4514220306864729,1.3100720616481283,0.7966541264421494,0.0004966602078815274,-0.010257003982362511,-0.006630037837465852,-0.006071491505193483,0.008740711373114163,-0.01088971804229344,-0.006036533918172049,249.53150939941406,249.4076385498047,251.99232482910156,250.7707733154297,247.26282119750977,-1.5225738525390682,1.9853782653808594,0.008331808011061523,0.006398735092580395,0.005468308053454555,2.1067261880902777,2.1086196024491772,-0.0029444456492820903,3,2,1,0,0,0,247.9205856181963,0.162,0.731,0.107,-0.9852,0.35069993138313293,0.34740298986434937,0.3018970787525177,-0.003521716893003613
2018-02-02,243.82223510742188,248.05338389859685,243.78682043174956,247.9205856181963,173174800,-0.02176932217428751,4.266563466847288,-4.098350510774424,4.231148791174974,0.03541467567231393,-0.0011353673818802479,0.0004966602078815274,-0.010257003982362511,-0.03883705732980003,-0.017687984320516104,-0.022394676742298114,-0.027296702515383964,249.24819946289062,249.53150939941406,249.4076385498047,248.80038146972657,247.43278121948242,-4.978146362304699,-3.610546112060547,0.008885129813075996,0.009423547516427181,0.007594900715461487,4.266563466847288,2.285023482271206,-0.0053264731603085425,4,2,2,0,0,0,242.05184778026043,0.051,0.86,0.089,0.2617,0.05879327654838562,0.08566328883171082,0.8555434942245483,-0.02367184565695511
2018-02-05,233.62493896484375,244.17626881288984,233.07613312454137,242.05184778026043,294681800,-0.04182266698558257,11.100135688348473,-8.426908815416681,10.551329848046095,0.5488058403023786,-0.02176932217428751,-0.0011353673818802479,0.0004966602078815274,-0.07288867181456571,-0.06636236595248446,-0.06374573885620738,-0.06837245912747514,243.82223510742188,249.24819946289062,249.53150939941406,245.126904296875,247.01276702880858,-11.501965332031261,-13.387828063964832,0.01746494505561682,0.015123902512355611,0.012039220748757566,11.100135688348473,2.830672696830884,-0.007260975712003681,0,2,5,0,0,0,230.09304545401446,0.14,0.782,0.079,-0.9947,0.058256302028894424,0.5195633769035339,0.42218029499053955,-0.04940595345961753
2018-02-06,238.2278289794922,238.73238664637205,228.995433979517,230.09304545401446,355026800,0.019702049083643036,9.736952666855046,8.13478352547773,0.5045576668798617,9.232394999975185,-0.04182266698558257,-0.02176932217428751,-0.0011353673818802479,-0.04482544975493996,-0.04998407563277296,-0.04421444370369143,-0.06089056633009304,233.62493896484375,243.82223510742188,249.24819946289062,242.8909423828125,246.80076751708984,-4.663113403320324,-8.57293853759765,0.023538188359961278,0.01715376304115653,0.012943892599308452,9.736952666855046,3.3314310885018705,-0.015117793187998552,1,2,6,0,0,0,237.6701560116616,0.128,0.798,0.074,-0.9831,0.02347685396671295,0.9430508613586426,0.03347227722406387,0.03293063700685149
2018-02-07,236.9354705810547,241.08692815582765,236.85578083511615,237.6701560116616,167376100,-0.005424884254596307,4.2311473207115,-0.734685430606902,4.151457574772962,0.07968974593853773,0.019702049083643036,-0.04182266698558257,-0.02176932217428751,-0.05047875055409312,-0.05477072907758862,-0.028245022540020037,-0.05975124146443056,238.2278289794922,233.62493896484375,243.82223510742188,240.37173461914062,246.49670944213867,-3.4362640380859375,-9.561238861083979,0.023091576707248894,0.0170777305076612,0.012962249285380563,4.2311473207115,3.5464023741028297,-0.0023409228477609956,2,2,7,0,0,0,237.23644125937324,0.112,0.827,0.061,-0.9423,0.08323655277490616,0.033642373979091644,0.8831210732460022,-0.0018248599637687446
2018-02-08,228.0482940673828,237.37807290746164,228.01287940199202,237.23644125937324,246449500,-0.03750884783893771,9.36519350546962,-9.188147191990424,9.32977884007883,0.03541466539078897,-0.005424884254596307,0.019702049083643036,-0.04182266698558257,-0.08505540036474435,-0.0906104787291524,-0.023870075353128795,-0.08564029797409989,236.9354705810547,238.2278289794922,233.62493896484375,236.13175354003906,245.76688232421876,-8.083459472656244,-17.718588256835943,0.025198624096272916,0.019640240494347892,0.015298665439944388,9.36519350546962,4.135047220591127,0.001270264336447724,3,2,8,1,0,0,230.85431809264304,0.139,0.772,0.09,-0.9814,0.05530865490436554,0.8641846179962158,0.08050671964883804,-0.026901951204674115
2018-02-09,231.4739532470703,233.34166510412416,223.8791274623616,230.85431809264304,283565300,0.015021639138748766,9.462537641762566,0.6196351544272716,1.8677118570538482,7.594825784708718,-0.03750884783893771,-0.005424884254596307,0.019702049083643036,-0.050644609401235385,-0.08751477913227423,-0.028350490206596635,-0.07236583546424924,228.0482940673828,236.9354705810547,238.2278289794922,233.66209716796874,245.11981811523438,-2.188143920898426,-13.645864868164068,0.028716913389768364,0.020071971270989687,0.015665035374435376,9.462537641762566,4.64781610461665,0.012304516623268924,4,2,9,1,0,0,233.53638956433988,0.118,0.839,0.044,-0.9797,0.4257424473762512,0.5295083522796631,0.04474922642111778,0.01161802600816206
2018-02-12,234.87301635742188,236.35127480523568,231.61556933901875,233.53638956433988,143736000,0.014684430203356191,4.735705466216928,1.3366267930819902,1.4782584478138006,3.257447018403127,0.015021639138748766,-0.03750884783893771,-0.005424884254596307,0.005342226725058463,-0.06793583290002903,-0.008704708579829301,-0.057674170310742845,231.4739532470703,228.0482940673828,236.9354705810547,233.91171264648438,244.56304244995118,0.9613037109375,-9.690026092529308,0.02375611695232885,0.021429459321329905,0.016017598659166476,4.735705466216928,4.907047078306661,0.008910014661857701,0,2,12,1,0,0,233.66018397720265,0.117,0.791,0.092,-0.8745,0.030129242688417435,0.8641139268875122,0.10575689375400543,0.000530086180974631
2018-02-13,235.45709228515625,236.00589772697566,233.07596389006795,233.66018397720265,81223600,0.0024867732223676775,2.9299338369077077,1.7969083079536006,0.548805441819411,2.3811283950882967,0.014684430203356191,0.015021639138748766,-0.03750884783893771,-0.011630617238150065,-0.05593471934446237,0.03248784757663792,-0.034308367399635054,234.87301635742188,231.4739532470703,228.0482940673828,233.3575653076172,244.07751846313477,2.099526977539057,-8.620426177978516,0.02156812386182884,0.021579523138422062,0.01604815476018756,2.9299338369077077,4.935497950626133,-0.005163779130649804,1,2,13,1,0,0,233.9612734349906,0.0,0.0,0.0,0.0,0.3591632544994354,0.2166517823934555,0.4241849184036255,0.0012885783647988943
